GEO_ID,NAME,B09019_018E
25001,"Barnstable County, Massachusetts",4601
25003,"Berkshire County, Massachusetts",2318
25005,"Bristol County, Massachusetts",11281
25007,"Dukes County, Massachusetts",150
25009,"Essex County, Massachusetts",14804
25011,"Franklin County, Massachusetts",959
25013,"Hampden County, Massachusetts",10193
25015,"Hampshire County, Massachusetts",1537
25017,"Middlesex County, Massachusetts",19594
25019,"Nantucket County, Massachusetts",17
25021,"Norfolk County, Massachusetts",9375
25023,"Plymouth County, Massachusetts",9647
25025,"Suffolk County, Massachusetts",13362
25027,"Worcester County, Massachusetts",12664